> Task :spotbugsMain
M V EI2: io.github.fvarrui.javapackager.gradle.PackageTask.setModules(List) may expose internal representation by storing an externally mutable object into PackageTask.modules  At PackageTask.java:[line 348]
M V EI2: io.github.fvarrui.javapackager.gradle.PackageTask.setExtra(Map) may expose internal representation by storing an externally mutable object into PackageTask.extra  At PackageTask.java:[line 216]
M V EI: io.github.fvarrui.javapackager.gradle.PackageTask.getModules() may expose internal representation by returning PackageTask.modules  At PackageTask.java:[line 344]
M V EI2: io.github.fvarrui.javapackager.gradle.PackageTask.setMacConfig(MacConfig) may expose internal representation by storing an externally mutable object into PackageTask.macConfig  At PackageTask.java:[line 318]
M V EI2: io.github.fvarrui.javapackager.gradle.PackageTask.setAdditionalModulePaths(List) may expose internal representation by storing an externally mutable object into PackageTask.additionalModulePaths  At PackageTask.java:[line 532]
M V EI2: io.github.fvarrui.javapackager.gradle.PackageTask.setFileAssociations(List) may expose internal representation by storing an externally mutable object into PackageTask.fileAssociations  At PackageTask.java:[line 544]
M V EI2: io.github.fvarrui.javapackager.gradle.PackageTask.setLinuxConfig(LinuxConfig) may expose internal representation by storing an externally mutable object into PackageTask.linuxConfig  At PackageTask.java:[line 300]
M V EI: io.github.fvarrui.javapackager.gradle.PackageTask.getMacConfig() may expose internal representation by returning PackageTask.macConfig  At PackageTask.java:[line 314]
M V EI2: io.github.fvarrui.javapackager.gradle.PackageTask.setTemplates(List) may expose internal representation by storing an externally mutable object into PackageTask.templates  At PackageTask.java:[line 586]
M V EI: io.github.fvarrui.javapackager.gradle.PackageTask.getManifest() may expose internal representation by returning PackageTask.manifest  At PackageTask.java:[line 514]
M V EI2: io.github.fvarrui.javapackager.gradle.PackageTask.setAdditionalModules(List) may expose internal representation by storing an externally mutable object into PackageTask.additionalModules  At PackageTask.java:[line 60]
M V EI: io.github.fvarrui.javapackager.gradle.PackageTask.getAdditionalModulePaths() may expose internal representation by returning PackageTask.additionalModulePaths  At PackageTask.java:[line 528]
M V EI: io.github.fvarrui.javapackager.gradle.PackageTask.getFileAssociations() may expose internal representation by returning PackageTask.fileAssociations  At PackageTask.java:[line 540]
M V EI: io.github.fvarrui.javapackager.gradle.PackageTask.scripts(Closure) may expose internal representation by returning PackageTask.scripts  At PackageTask.java:[line 562]
M V EI2: io.github.fvarrui.javapackager.gradle.PackageTask.setScripts(Scripts) may expose internal representation by storing an externally mutable object into PackageTask.scripts  At PackageTask.java:[line 556]
M V EI: io.github.fvarrui.javapackager.gradle.PackageTask.getExtra() may expose internal representation by returning PackageTask.extra  At PackageTask.java:[line 212]
M V EI: io.github.fvarrui.javapackager.gradle.PackageTask.winConfig(Closure) may expose internal representation by returning PackageTask.winConfig  At PackageTask.java:[line 458]
M V EI: io.github.fvarrui.javapackager.gradle.PackageTask.manifest(Closure) may expose internal representation by returning PackageTask.manifest  At PackageTask.java:[line 520]
M D RV: Return value of org.gradle.api.tasks.AbstractCopyTask.from(Object[]) ignored, but method has no side effect  At CopyDependencies.java:[line 38]
M B PA: Primitive field io.github.fvarrui.javapackager.gradle.CopyDependencies.copyLibsTask is public and set from inside the class, which makes it too exposed. Consider making it private to limit external accessibility.  At CopyDependencies.java:[line 34]
M D NP: Possible null pointer dereference in io.github.fvarrui.javapackager.gradle.CreateRunnableJar.doApply(Packager) due to return value of called method  Method invoked at CreateRunnableJar.java:[line 41]
M D NP: Possible null pointer dereference in io.github.fvarrui.javapackager.packagers.GenerateRpm.addDirectory(Builder, String, File, List) due to return value of called method  Dereferenced at GenerateRpm.java:[line 122]
M B RV: Exceptional return value of java.io.File.delete() ignored in io.github.fvarrui.javapackager.packagers.GenerateRpm.doApply(LinuxPackager)  At GenerateRpm.java:[line 100]
M D RV: Return value of org.gradle.api.tasks.AbstractCopyTask.from(Object, Action) ignored, but method has no side effect  At CreateZipball.java:[line 49]
M D RV: Return value of org.gradle.api.file.CopySpec.include(String[]) ignored, but method has no side effect  At CreateZipball.java:[line 87]
M D RV: Return value of org.gradle.api.file.CopySpec.exclude(String[]) ignored, but method has no side effect  At CreateZipball.java:[line 81]
M D RV: Return value of org.gradle.api.file.CopySpec.include(String[]) ignored, but method has no side effect  At CreateZipball.java:[line 80]
M D RV: Return value of org.gradle.api.file.CopySpec.include(String[]) ignored, but method has no side effect  At CreateZipball.java:[line 65]
M D RV: Return value of org.gradle.api.file.CopySpec.exclude(String[]) ignored, but method has no side effect  At CreateZipball.java:[line 60]
M D RV: Return value of org.gradle.api.file.CopySpec.include(String[]) ignored, but method has no side effect  At CreateZipball.java:[line 59]
M D RV: Return value of org.gradle.api.file.CopySpec.include(String[]) ignored, but method has no side effect  At CreateZipball.java:[line 50]
M D NP: Possible null pointer dereference in io.github.fvarrui.javapackager.packagers.BundleJre.doApply(Packager) due to return value of called method  Method invoked at BundleJre.java:[line 85]
M D NP: Possible null pointer dereference in io.github.fvarrui.javapackager.packagers.BundleJre.doApply(Packager) due to return value of called method  Method invoked at BundleJre.java:[line 143]
M D DMI: Hard coded reference to an absolute pathname in io.github.fvarrui.javapackager.packagers.GenerateDmg.doApply(MacPackager)  At GenerateDmg.java:[line 116]
M B RV: Exceptional return value of java.io.File.delete() ignored in io.github.fvarrui.javapackager.packagers.GenerateDmg.doApply(MacPackager)  At GenerateDmg.java:[line 154]
M D RV: Return value of org.gradle.api.tasks.AbstractCopyTask.from(Object, Action) ignored, but method has no side effect  At CreateTarball.java:[line 53]
M D RV: Return value of org.gradle.api.file.CopySpec.include(String[]) ignored, but method has no side effect  At CreateTarball.java:[line 92]
M D RV: Return value of org.gradle.api.file.CopySpec.include(String[]) ignored, but method has no side effect  At CreateTarball.java:[line 84]
M D RV: Return value of org.gradle.api.file.CopySpec.exclude(String[]) ignored, but method has no side effect  At CreateTarball.java:[line 85]
M D RV: Return value of org.gradle.api.file.CopySpec.include(String[]) ignored, but method has no side effect  At CreateTarball.java:[line 69]
M D RV: Return value of org.gradle.api.file.CopySpec.exclude(String[]) ignored, but method has no side effect  At CreateTarball.java:[line 64]
M D RV: Return value of org.gradle.api.file.CopySpec.include(String[]) ignored, but method has no side effect  At CreateTarball.java:[line 63]
M D RV: Return value of org.gradle.api.file.CopySpec.include(String[]) ignored, but method has no side effect  At CreateTarball.java:[line 54]
M D UrF: Unread public/protected field: io.github.fvarrui.javapackager.packagers.Packager.executableDestinationFolder  At WindowsPackager.java:[line 50]
SpotBugs ended with exit code 1
